,cos,sb,trunc,full
0,0.7611400093291398,1.0,0.9770629751215788,0.6686928964770205
1,0.7786721009191506,1.0,0.9770629751215788,0.684499746273778
2,0.788831270030034,1.0,0.9770629751215788,0.6936494545789086
3,0.7920746308665711,1.0,0.9770629751215788,0.6965692149496384
4,0.7893453665904656,1.0,0.9770629751215788,0.6941122985920931
5,0.7798115340495306,1.0,0.9770629751215788,0.6855262916993861
6,0.7628375315392221,1.0,0.9770629751215788,0.6702243971073987
7,0.7411032709003637,0.9998810549453244,0.9770629751215788,0.6504753204594864
8,0.7213441955935723,0.9982184910256373,0.9770629751215788,0.6310648031588928
9,0.711977991213036,0.9964804072392621,0.9770629751215788,0.6210134413168146
10,0.717732386614788,0.9976483673029588,0.9770629751215788,0.6272777701061226
11,0.7356453633054072,0.9996410780097126,0.9770629751215788,0.6453110421948809
