,0,1,2,3,4
0,58452.88686508055,64546.473185434355,66483.35938330217,64546.473185434355,58452.88686508055
1,62633.60006244149,67913.0170160344,69649.75940222511,67913.0170160344,62633.60006244149
2,64934.85008849349,69702.66706441999,71269.76060107992,69702.66706441999,64934.85008849349
3,65672.52512873041,70237.8888763497,71747.95741370611,70237.8888763497,65672.52512873041
4,65051.230699714055,69788.53343490312,71347.09303908623,69788.53343490312,65051.230699714055
5,62893.7968510931,68120.34771555057,69839.02522316654,68120.34771555057,62893.7968510931
6,58876.633387440255,64888.21565393476,66806.20239420162,64888.21565393476,58876.633387440255
7,52760.56550913233,60188.44986671464,62372.74182282371,60188.44986671464,52760.56550913233
8,44921.85548531359,55087.116253919696,57603.31800054054,55087.116253919696,44921.85548531359
9,40386.855717845676,52145.54492145749,54880.56026761479,52145.54492145749,40386.855717845676
10,43232.04426869873,54014.70950514416,56608.741431008864,54014.70950514416,43232.04426869873
11,50840.0284883859,58875.6075443928,61139.98939361874,58875.6075443928,50840.0284883859
