,0
0,37.20782221140992
1,37.21064611203262
2,37.210646112075686
3,37.21038323459545
4,37.21036500206656
5,37.21045052845943
6,37.21064611223075
7,37.210646112263255
8,37.21064611229287
9,37.21064611231954
10,37.21064611234321
11,37.21031664765763
12,37.20945627995097
13,37.20899587995847
14,37.21064611240856
15,37.210646112417706
16,37.210646112424044
17,37.21064611242757
18,37.21064611242835
19,37.210646112426346
20,37.20741615301802
21,37.20842026705299
22,37.2087937088733
23,37.210646112390286
24,37.210646112374135
25,37.21064611235504
26,37.210646112333
27,37.210646112308005
28,37.21053806645483
29,37.21022839439859
30,37.21020274030402
31,37.21064611217878
32,37.210646112139855
33,37.21064611209889
34,37.21064611205639
35,37.21064611201301
36,37.21064611196972
37,37.21049497263009
38,37.2105223222624
39,37.21058554389538
40,37.210646111821205
41,37.21064611179724
42,37.21064611178121
43,37.210646111774025
44,37.21064611177604
45,37.210532242794685
46,37.21031072871182
47,37.21017053416397
48,37.210646111867334
49,37.210646111905234
50,37.21064611194632
51,37.20782221140992
52,37.20782221120479
53,37.21064611183424
54,37.210646111880195
55,37.21059568836246
56,37.208571041826374
57,37.2088184431236
58,37.20921572337515
59,37.210646112087055
60,37.21064611212136
61,37.21064611215294
62,37.210646112181735
63,37.21064611220776
64,37.21064611223098
65,37.207778375867115
66,37.205754776437416
67,37.20398492848806
68,37.21064611229686
69,37.21064611230672
70,37.21064611231409
71,37.21064611231892
72,37.210646112321236
73,37.21064611232102
74,37.2102596696541
75,37.19988077298985
76,37.20245178093042
77,37.20460270009952
78,37.210646112282014
79,37.21064611226645
80,37.210646112248234
81,37.21064611222729
82,37.210646112203584
83,37.21064611217707
84,37.209061339149265
85,37.208211076580625
86,37.20776984282335
87,37.21064611204351
88,37.21064611200364
89,37.21064611196155
90,37.2106461119176
91,37.21064611187231
92,37.210646111826286
93,37.21061101087983
94,37.2093982617415
95,37.209723547467355
96,37.21011124274258
97,37.21064611161919
98,37.21064611159089
99,37.210646111569844
100,37.21064611155708
101,37.21064611155325
102,37.21064611155849
103,37.20985542320334
104,37.20934902881081
105,37.20884826185287
106,37.210646111659855
107,37.21064611169983
108,37.21064611174305
109,37.20782221120479
110,37.20782221103789
111,37.21064611167337
112,37.21064611172143
113,37.21050227345437
114,37.20843687664676
115,37.20886493134612
116,37.20915258080915
117,37.21064611193654
118,37.21064611197259
119,37.210646112006025
120,37.21064611203682
121,37.21064611206497
122,37.21064611209047
123,37.2106461121134
124,37.20698949232193
125,37.20711386888899
126,37.2054988385295
127,37.210646112180044
128,37.21064611219063
129,37.210646112198866
130,37.210646112204785
131,37.2106461122084
132,37.210646112209716
133,37.210646112208735
134,37.2100932498114
135,37.2037302370477
136,37.205610498360976
137,37.20661861049891
138,37.21064611216911
139,37.21064611215406
140,37.21064611213656
141,37.21064611211655
142,37.21064611209401
143,37.21064611206886
144,37.21064611204108
145,37.20816656687341
146,37.20843683262903
147,37.20774030969021
148,37.21064611190364
149,37.2106461118629
150,37.21064611181991
151,37.21064611177485
152,37.210646111728146
153,37.210646111680184
154,37.2106461116316
155,37.21053575496011
156,37.20913120927807
157,37.20956539849117
158,37.209911161824714
159,37.21064611140964
160,37.210646111377116
161,37.21064611135129
162,37.210646111333155
163,37.21064611132351
164,37.21064611132275
165,37.21064611133099
166,37.20941672285468
167,37.20940852559913
168,37.20886826002242
169,37.21064611144171
170,37.210646111483676
171,37.21064611152894
172,37.210646111576295
173,37.20782221103789
174,37.20782221081563
175,37.21064611146301
176,37.20765598484876
177,37.2081856920402
178,37.21064611162541
179,37.21064611167568
180,37.21064611172339
181,37.20759053903537
182,37.20974373210007
183,37.21064611184928
184,37.21064611188523
185,37.210646111918166
186,37.206511397688594
187,37.21064611197505
188,37.21064611199912
189,37.21064611202037
190,37.2106461120388
191,37.20500870331813
192,37.21064611206755
193,37.21064611207795
194,37.21064611208576
195,37.20826816380989
196,37.202499742867325
197,37.210646112093876
198,37.2106461120915
199,37.210646112086586
200,37.20429287071434
201,37.20162801060144
202,37.210646112056374
203,37.210646112041
204,37.210646112022935
205,37.20474388735053
206,37.20538416764045
207,37.21064611195179
208,37.21064611192226
209,37.21064611188971
210,37.20592734511972
211,37.208119028482784
212,37.210646111773876
213,37.21064611172932
214,37.21064611168191
215,37.2080086712545
216,37.21041592901078
217,37.21064611152542
218,37.21064611147001
219,37.210646111414036
